x,y,Pressure_1,Phase_1,Pressure_2,Phase_2,Pressure_3,Phase_3
-1.689,0.322,122.22,-7.278,21.188,-141.617,9.015,61.224
-1.689,0.965,154.103,-7.813,24.244,-142.89,10.182,59.48
-1.689,1.609,192.002,-9.09,27.605,-144.234,11.432,57.58
-1.689,2.252,234.863,-11.065,31.148,-145.698,12.705,55.541
-1.689,2.896,280.333,-13.667,34.647,-147.343,13.912,53.393
-1.689,3.539,316.601,-17.594,36.933,-149.691,14.575,50.531
-1.689,4.183,348.939,-21.545,38.256,-151.426,15.013,48.807
-1.689,4.826,360.91,-26.1,37.097,-152.661,14.664,47.841
-1.689,5.47,328.108,-30.724,32.323,-152.983,13.009,47.25
-1.689,6.113,295.209,-36.466,26.936,-152.148,11.237,47.967
-1.689,6.757,247.544,-40.682,21.592,-150.193,9.315,49.173
-1.689,7.4,149.049,-46.122,12.705,-146.013,5.708,51.061
-1.689,8.043,49.365,-50.31,4.26,-142.077,1.954,52.38
-1.046,0.322,133.832,-5.432,22.77,-139.666,9.972,64.611
-1.046,0.965,173.172,-5.682,26.392,-140.913,11.404,62.783
-1.046,1.609,221.715,-6.844,30.514,-142.209,12.979,60.743
-1.046,2.252,278.825,-8.889,35.07,-143.659,14.634,58.492
-1.046,2.896,342.072,-11.763,39.845,-145.433,16.263,56.043
-1.046,3.539,404.943,-15.375,44.192,-147.605,17.649,53.533
-1.046,4.183,454.544,-19.697,46.702,-149.947,18.397,51.356
-1.046,4.826,475.751,-24.887,45.76,-152.008,18.084,49.931
-1.046,5.47,461.793,-30.713,41.2,-153.136,16.692,49.483
-1.046,6.113,392.575,-38.148,32.046,-151.791,13.764,50.486
-1.046,6.757,294.145,-44.831,22.494,-147.619,10.281,52.677
-1.046,7.4,206.186,-49.592,15.53,-142.637,7.375,54.893
-1.046,8.043,105.925,-54.177,8.06,-137.222,3.92,57.002
-0.402,0.322,147.101,-3.048,24.697,-137.174,11.272,68.727
-0.402,0.965,196.705,-2.886,28.998,-138.332,13.073,66.836
-0.402,1.609,260.645,-3.878,34.093,-139.435,15.118,64.673
-0.402,2.252,339.517,-6.005,40.088,-140.676,17.354,62.206
-0.402,2.896,431.365,-9.229,46.929,-142.432,19.664,59.418
-0.402,3.539,527.444,-13.491,53.809,-145.066,21.751,56.395
-0.402,4.183,605.351,-18.88,58.161,-148.495,22.927,53.56
-0.402,4.826,635.978,-25.588,56.543,-151.883,22.387,51.666
-0.402,5.47,607.614,-33.207,48.586,-153.582,20.14,51.469
-0.402,6.113,533.114,-40.593,38.042,-151.886,17.061,53.16
-0.402,6.757,403.406,-48.228,26.526,-145.006,13.034,56.586
-0.402,7.4,264.136,-55.123,17.012,-135.832,8.847,60.328
-0.402,8.043,118.117,-60.521,8.185,-127.84,4.245,62.924
0.241,0.322,162.271,0.472,26.834,-133.688,13.095,74.177
0.241,0.965,221.925,0.564,31.492,-135.145,15.093,71.59
0.241,1.609,306.624,-0.218,37.578,-135.786,17.757,69.369
0.241,2.252,416.696,-2.46,45.331,-136.373,20.797,66.756
0.241,2.896,552.089,-6.141,55.29,-137.702,24.126,63.692
0.241,3.539,701.671,-11.244,66.766,-140.834,27.39,60.13
0.241,4.183,825.281,-18.03,74.83,-146.115,29.363,56.362
0.241,4.826,865.97,-26.734,71.654,-152.012,28.345,53.548
0.241,5.47,806.298,-36.451,57.071,-154.71,24.536,53.606
0.241,6.113,678.627,-45.734,40.274,-150.455,19.942,56.944
0.241,6.757,522.825,-53.848,27.916,-139.383,15.611,61.769
0.241,7.4,360.35,-60.283,19.997,-127.103,11.45,65.994
0.241,8.043,200.409,-66.345,12.426,-116.901,6.889,69.498
0.885,0.322,157.062,3.18,27.098,-130.021,14.231,79.755
0.885,0.965,231.889,5.022,32.195,-130.735,17.019,78.042
0.885,1.609,340.045,4.746,38.616,-130.426,20.408,75.95
0.885,2.252,490.543,2.466,47.718,-129.231,24.461,73.417
0.885,2.896,690.894,-1.799,62.019,-128.899,29.273,70.37
0.885,3.539,934.049,-8.062,82.684,-132.538,34.791,66.448
0.885,4.183,1141.178,-16.113,99.388,-140.481,38.93,61.726
0.885,4.826,1230.762,-26.172,97.882,-149.705,38.576,57.424
0.885,5.47,1177.979,-37.982,76.156,-155.931,33.516,56.461
0.885,6.113,1001.517,-50.582,46.271,-150.918,26.583,61.301
0.885,6.757,630.385,-61.493,27.173,-125.485,17.962,68.712
0.885,7.4,442.161,-69.044,22.085,-108.647,13.712,74.182
0.885,8.043,274.532,-73.069,16.456,-103.427,9.326,76.328
