x,y,Pressure_1,Phase_1,Pressure_2,Phase_2,Pressure_3,Phase_3
-2.237,0.426, 67.477,-1.027,16.950,-54.290,21.998,157.099
-2.237,1.278, 79.329,0.961,19.298,-56.269,24.514,155.832
-2.237,2.130, 93.536,2.507,21.856,-58.239,27.130,154.657
-2.237,2.983, 109.999,3.370,24.527,-60.190,29.725,153.587
-2.237,3.835, 128.009,3.373,27.146,-62.102,32.120,152.642
-2.237,4.687, 143.751,1.844,28.997,-64.382,33.248,151.949
-2.237,5.539, 157.368,-0.391,30.182,-65.865,34.125,151.320
-2.237,6.391, 162.510,-3.733,29.712,-66.824,33.500,150.913
-2.237,7.243, 149.275,-7.860,26.710,-67.364,29.973,151.095
-2.237,8.096, 134.839,-13.039,23.117,-67.153,26.319,151.138
-2.237,8.948, 113.889,-17.143,19.142,-66.430,22.079,151.459
-2.237,9.800, 69.912,-22.808,11.731,-64.971,13.635,152.438
-2.237,10.652, 23.700,-27.387,4.031,-63.673,4.652,153.609
-1.385,0.426, 71.727,-1.907,18.104,-51.849,24.679,156.501
-1.385,1.278, 85.478,0.898,20.875,-54.005,27.777,155.197
-1.385,2.130, 102.734,3.287,23.970,-56.170,31.070,153.968
-1.385,2.983, 123.834,4.869,27.298,-58.344,34.424,152.818
-1.385,3.835, 148.304,5.322,30.667,-60.525,37.621,151.762
-1.385,4.687, 173.913,4.454,33.677,-62.642,40.292,150.830
-1.385,5.539, 195.184,2.167,35.495,-64.468,41.757,150.087
-1.385,6.391, 205.399,-1.655,35.217,-65.779,41.278,149.592
-1.385,7.243, 201.168,-6.684,32.762,-66.434,38.730,149.400
-1.385,8.096, 173.921,-13.823,27.205,-66.083,32.814,149.708
-1.385,8.948, 132.604,-20.569,20.290,-64.675,24.997,150.395
-1.385,9.800, 94.624,-25.587,14.473,-62.971,18.059,151.197
-1.385,10.652, 49.701,-30.505,7.657,-61.116,9.590,152.224
-0.533,0.426, 76.383,-3.599,19.607,-48.583,28.222,156.140
-0.533,1.278, 92.177,0.392,22.928,-50.958,32.124,154.795
-0.533,2.130, 113.214,4.076,26.750,-53.353,36.385,153.507
-0.533,2.983, 140.849,6.798,31.009,-55.783,40.866,152.272
-0.533,3.835, 175.400,7.966,35.514,-58.274,45.309,151.092
-0.533,4.687, 214.306,7.203,39.752,-60.803,49.202,149.994
