x,y,Pressure_1,Pressure_2
-1.141,0.217,371.857,17.486
-1.141,0.652,454.944,20.209
-1.141,1.087,551.07,23.095
-1.141,1.522,657.091,25.977
-1.141,1.957,766.33,28.658
-1.141,2.391,835.603,30.018
-1.141,2.826,907.583,31.776
-1.141,3.261,930.81,32.63
-1.141,3.696,829.065,30.129
-1.141,4.13,746.799,28.212
-1.141,4.565,625.578,24.626
-1.141,5,370.801,15.701
-1.141,5.435,119.628,5.441
-0.707,0.217,444.304,20.422
-0.707,0.652,554.315,24.077
-0.707,1.087,685.317,28.039
-0.707,1.522,834.683,31.994
-0.707,1.957,994.986,35.584
-0.707,2.391,1149.371,38.557
-0.707,2.826,1266.464,40.847
-0.707,3.261,1309.15,42.37
-0.707,3.696,1261.185,42.581
-0.707,4.13,1062.823,38.906
-0.707,4.565,792.275,31.23
-0.707,5,551.03,23.106
-0.707,5.435,279.668,12.539
-0.272,0.217,543.206,24.396
-0.272,0.652,693.173,29.557
-0.272,1.087,877.496,35.363
-0.272,1.522,1095.769,41.188
-0.272,1.957,1340.611,46.093
-0.272,2.391,1587.962,49.442
-0.272,2.826,1779.363,51.927
-0.272,3.261,1842.418,55.016
-0.272,3.696,1751.261,57.26
-0.272,4.13,1538.977,55.306
-0.272,4.565,1162.982,45.701
-0.272,5,760.024,32.34
-0.272,5.435,332.904,15.382
0.163,0.217,692.235,30.161
0.163,0.652,873.654,36.718
0.163,1.087,1135.61,45.78
0.163,1.522,1458.335,55.125
0.163,1.957,1837.054,62.058
0.163,2.391,2238.307,63.781
0.163,2.826,2551.74,63.496
0.163,3.261,2632.076,70.89
0.163,3.696,2444.077,79.381
0.163,4.13,2070.617,77.221
0.163,4.565,1608.163,65.405
0.163,5,1106.561,47.953
0.163,5.435,610.961,28.431
0.598,0.217,787.527,33.303
0.598,0.652,1064.881,44.259
0.598,1.087,1432.026,59.318
0.598,1.522,1906.221,76.806
0.598,1.957,2498.061,89.892
0.598,2.391,3179.57,86.023
0.598,2.826,3733.956,70.936
0.598,3.261,3949.19,85.641
0.598,3.696,3777.584,115.07
0.598,4.13,3260.426,127.135
0.598,4.565,2051.776,88.821
0.598,5,1451.105,66.104
0.598,5.435,889.903,42.427
1.033,0.217,963.442,38.478
1.033,0.652,1341.16,54.322
1.033,1.087,1858.166,79.083
1.033,1.522,2551.176,111.328
1.033,1.957,3444.216,137.476
1.033,2.391,4509.996,124.422
1.033,2.826,5363.298,64.353
1.033,3.261,5598.327,99.453
1.033,3.696,5196.929,169.479
1.033,4.13,4297.998,180.864
1.033,4.565,3250.802,152.066
1.033,5,2286.7,108.767
1.033,5.435,1135.616,56.324
1.467,0.217,1179.547,43.206
1.467,0.652,1694.637,64.047
1.467,1.087,2500.185,104.983
1.467,1.522,3631.456,163.223
1.467,1.957,5089.893,209.937
1.467,2.391,6978.048,170.09
1.467,2.826,8226.231,80.056
1.467,3.261,9242.729,217.179
1.467,3.696,8128.512,387.48
1.467,4.13,5587.728,295.601
1.467,4.565,3887.056,199.446
1.467,5,2630.044,129.909
1.467,5.435,1546.66,78.31
1.902,0.217,1316.609,44.326
1.902,0.652,2013.45,69.825
1.902,1.087,3090.629,115.32
1.902,1.522,4154.859,163.345
1.902,1.957,6174.43,199.989
1.902,2.391,8874.496,108.392
1.902,2.826,12081.77,493.093
1.902,3.261,13325.94,1121.403
1.902,3.696,10204.47,743.244
1.902,4.13,8077.965,550.028
1.902,4.565,5692.85,342.401
1.902,5,2898.783,141.603
1.902,5.435,1649.884,84.691
2.337,0.217,1473.156,46.597
2.337,0.652,2317.897,72.622
2.337,1.087,3691.97,113.687
2.337,1.522,5186.128,135.499
2.337,1.957,8039.597,111.47
2.337,2.391,12103.48,524.394
2.337,2.826,18211.42,1884.01
2.337,3.261,20610.56,2554.777
2.337,3.696,13262.42,1267.021
2.337,4.13,9988.457,866.577
2.337,4.565,6684.227,392.214
2.337,5,3729.477,179.082
2.337,5.435,1927.67,97.301
2.772,0.217,1525.13,47.95
2.772,0.652,2466.462,72.767
2.772,1.087,4006.945,106.804
2.772,1.522,5839.967,113.206
2.772,1.957,9140.232,215.99
2.772,2.391,14441.05,801.915
2.772,2.826,20999.95,1621.774
2.772,3.261,25069.81,2243.12
2.772,3.696,17188.8,1401.069
2.772,4.13,12531.56,942.983
2.772,4.565,6367.095,296.527
2.772,5,4063.72,172.784
2.772,5.435,2304.474,112.69
3.207,0.217,1525.056,51.344
3.207,0.652,2414.819,72.319
3.207,1.087,3941.23,108.349
3.207,1.522,5334.692,156.04
3.207,1.957,8248.355,253.995
3.207,2.391,11776.99,487.233
3.207,2.826,20253.26,1013.072
3.207,3.261,23100.16,1130.923
3.207,3.696,16212.06,811.868
3.207,4.13,10576.84,481.252
3.207,4.565,5958.408,242.544
3.207,5,3495.319,157.84
3.207,5.435,2292.935,117.603
3.641,0.217,1303.336,52.758
3.641,0.652,1945.055,70.613
3.641,1.087,2926.702,102.53
3.641,1.522,4247.05,157.138
3.641,1.957,6329.247,242.731
3.641,2.391,9280.773,418.828
3.641,2.826,13498.26,619.485
3.641,3.261,21018.65,990.17
3.641,3.696,11615.51,553.941
3.641,4.13,7878.035,362.621
3.641,4.565,5263.956,241.087
3.641,5,3281.503,167.412
3.641,5.435,1914.602,108.552
4.076,0.217,947.373,51.78
4.076,0.652,1430.331,69.137
4.076,1.087,2081.035,96.174
4.076,1.522,2884.228,137.531
4.076,1.957,4276.033,199.72
4.076,2.391,5884.663,298.51
4.076,2.826,8233.877,417.291
4.076,3.261,11334.81,540.991
4.076,3.696,7865.484,400.122
4.076,4.13,5429.231,284.285
4.076,4.565,4206.801,229.292
4.076,5,3169.972,173.502
4.076,5.435,1844.243,113.656
4.511,0.217,643.506,50.656
4.511,0.652,956.687,66.227
4.511,1.087,1368.094,88.36
4.511,1.522,1867.354,119.173
4.511,1.957,2488.475,159.904
4.511,2.391,3670.728,220.881
4.511,2.826,4902.106,286.802
4.511,3.261,5162.014,300.858
4.511,3.696,4674.366,275.619
4.511,4.13,3808.502,227.438
4.511,4.565,2982.065,185.101
4.511,5,2425.035,152.452
4.511,5.435,1609.215,108.987
